review_count,rating,price,categories,is_closed
476,4.5,4,supperclubs,0
79,4.5,1,delis,0
599,4.0,2,indpak,0
252,3.5,2,pubs,1
462,4.5,2,italian,1
40,4.0,2,coffee,1
1409,4.0,2,pizza,1
279,3.5,1,japanese,1
458,3.5,2,bars,1
140,4.5,3,italian,1
227,3.5,2,chinese,1
252,3.0,2,bbq,1
2125,4.0,2,breakfast_brunch,1
58,4.5,2,bakeries,1
421,4.0,3,korean,1
232,3.0,2,burgers,1
517,4.0,2,vietnamese,1
81,3.5,2,italian,1
315,3.0,3,steak,1
337,3.5,2,thai,1
1941,3.5,2,chinese,1
96,4.5,3,chocolate,1
440,4.0,2,sportsbars,1
92,4.5,3,fondue,1
599,4.0,2,mediterranean,1
466,4.0,3,tradamerican,1
364,3.5,2,diners,1
128,4.5,2,asianfusion,1
166,4.5,2,tradamerican,1
248,4.0,2,italian,1
866,3.5,2,vietnamese,1
485,3.5,3,bars,1
93,4.0,2,coffee,1
148,4.0,1,bars,1
35,4.0,2,coffee,1
427,3.5,2,newamerican,1
322,4.5,2,japanese,1
78,4.5,2,beerbar,1
2723,4.0,2,italian,1
1184,4.0,2,gastropubs,1
340,4.0,2,cocktailbars,1
113,4.5,3,newamerican,1
959,3.5,2,breakfast_brunch,1
78,3.5,2,lounges,1
114,3.5,2,newamerican,1
414,3.5,2,breakfast_brunch,1
86,4.0,2,eventplanning,1
104,3.5,2,diners,1
288,3.5,1,cafes,1
